state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
Alabama,16000,71,1136000,159000,0.72,818000,1998
Arizona,55000,60,3300000,1485000,0.64,2112000,1998
Arkansas,53000,65,3445000,1688000,0.59,2033000,1998
California,450000,83,37350000,12326000,0.62,23157000,1998
Colorado,27000,72,1944000,1594000,0.7,1361000,1998
Florida,230000,98,22540000,4508000,0.64,14426000,1998
Georgia,75000,56,4200000,307000,0.69,2898000,1998
Hawaii,8000,118,944000,66000,0.77,727000,1998
Idaho,120000,50,6.00E+06,2220000,0.65,3900000,1998
Illinois,9000,71,639000,204000,1.19,760000,1998
Indiana,9000,92,828000,489000,0.85,704000,1998
Iowa,50000,78,3900000,2301000,0.7,2730000,1998
Kansas,16000,46,736000,390000,0.87,640000,1998
Kentucky,3000,50,150000,51000,1.4,210000,1998
Louisiana,41000,111,4551000,865000,0.59,2685000,1998
Maine,10000,26,260000,117000,0.69,179000,1998
Maryland,7000,44,308000,92000,1.1,339000,1998
Michigan,80000,85,6800000,3672000,0.66,4488000,1998
Minnesota,140000,79,11060000,2765000,0.65,7189000,1998
Mississippi,18000,86,1548000,898000,0.58,898000,1998
Missouri,23000,66,1518000,455000,0.76,1154000,1998
Montana,115000,122,14030000,5472000,0.64,8979000,1998
Nebraska,64000,70,4480000,2240000,0.86,3853000,1998
Nevada,10000,46,460000,175000,1.65,759000,1998
New Jersey,11000,49,539000,167000,0.76,410000,1998
New Mexico,14000,55,770000,470000,0.76,585000,1998
New York,65000,80,5200000,2444000,0.7,3640000,1998
North Carolina,8000,59,472000,151000,1.38,651000,1998
North Dakota,230000,128,29440000,8832000,0.63,18547000,1998
Ohio,18000,78,1404000,702000,0.83,1165000,1998
Oklahoma,4000,51,204000,63000,1.24,253000,1998
Oregon,50000,45,2250000,1620000,0.9,2025000,1998
Pennsylvania,26000,66,1716000,789000,0.8,1373000,1998
South Dakota,225000,95,21375000,10901000,0.64,13680000,1998
Tennessee,7000,64,448000,121000,1.32,591000,1998
Texas,91000,77,7007000,1612000,0.62,4344000,1998
Utah,30000,58,1740000,557000,0.65,1131000,1998
Vermont,6000,64,384000,207000,0.85,326000,1998
Virginia,8000,37,296000,86000,1.33,394000,1998
Washington,58000,51,2958000,1361000,0.64,1893000,1998
West Virginia,6000,55,330000,155000,1.14,376000,1998
Wisconsin,89000,91,8099000,5264000,0.72,5831000,1998
Wyoming,46000,60,2760000,524000,0.68,1877000,1998
Alabama,17000,68,1156000,185000,0.56,647000,1999
Arizona,52000,62,3224000,1548000,0.62,1999000,1999
Arkansas,52000,89,4628000,2592000,0.53,2453000,1999
California,465000,60,27900000,9486000,0.55,15345000,1999
Colorado,27000,76,2052000,1436000,0.68,1395000,1999
Florida,228000,102,23256000,4186000,0.53,12326000,1999
Georgia,65000,51,3315000,497000,0.64,2122000,1999
Hawaii,8000,80,640000,32000,0.8,512000,1999
Idaho,120000,48,5760000,3110000,0.59,3398000,1999
Illinois,9000,66,594000,327000,1.15,683000,1999
Indiana,10000,81,810000,437000,0.9,729000,1999
Iowa,40000,65,2600000,2028000,0.65,1690000,1999
Kansas,13000,67,871000,854000,1.11,967000,1999
Kentucky,3000,50,150000,12000,1.24,186000,1999
Louisiana,48000,114,5472000,821000,0.49,2681000,1999
Maine,14000,22,308000,89000,0.83,256000,1999
Maryland,6000,46,276000,50000,1.64,453000,1999
Michigan,73000,85,6205000,3475000,0.66,4095000,1999
Minnesota,145000,82,11890000,3210000,0.61,7253000,1999
Mississippi,18000,73,1314000,591000,0.54,710000,1999
Missouri,24000,65,1560000,437000,0.68,1061000,1999
Montana,122000,70,8540000,2135000,0.6,5124000,1999
Nebraska,58000,77,4466000,1965000,0.61,2724000,1999
Nevada,9000,45,405000,271000,1.54,624000,1999
New Jersey,10000,44,440000,154000,0.57,251000,1999
New Mexico,15000,52,780000,476000,0.77,601000,1999
New York,69000,70,4830000,2077000,0.66,3188000,1999
North Carolina,9000,46,414000,104000,1.62,671000,1999
North Dakota,255000,105,26775000,8836000,0.59,15797000,1999
Ohio,20000,74,1480000,784000,0.72,1066000,1999
Oklahoma,6000,45,270000,49000,1.34,362000,1999
Oregon,45000,57,2565000,2026000,0.8,2052000,1999
Pennsylvania,28000,60,1680000,790000,0.76,1277000,1999
South Dakota,224000,104,23296000,13046000,0.6,13978000,1999
Tennessee,8000,51,408000,106000,1.3,530000,1999
Texas,108000,81,8748000,2799000,0.64,5599000,1999
Utah,26000,45,1170000,433000,0.68,796000,1999
Vermont,6000,66,396000,222000,0.63,249000,1999
Virginia,7000,35,245000,86000,1.17,287000,1999
Washington,52000,50,2600000,1170000,0.6,1560000,1999
West Virginia,6000,39,234000,152000,1.09,255000,1999
Wisconsin,80000,75,6.00E+06,4560000,0.68,4080000,1999
Wyoming,37000,72,2664000,746000,0.61,1625000,1999
Alabama,16000,78,1248000,187000,0.59,736000,2000
Arizona,40000,59,2360000,1322000,0.73,1723000,2000
Arkansas,52000,93,4836000,3337000,0.57,2757000,2000
California,440000,70,30800000,11396000,0.59,18172000,2000
Colorado,29000,60,1740000,957000,0.62,1079000,2000
Florida,232000,105,24360000,2923000,0.54,13154000,2000
Georgia,55000,57,3135000,376000,0.63,1975000,2000
Hawaii,7000,112,784000,125000,0.82,643000,2000
Idaho,1.00E+05,47,4700000,2679000,0.52,2444000,2000
Illinois,8000,61,488000,146000,1.17,571000,2000
Indiana,8000,65,520000,286000,1.03,536000,2000
Iowa,30000,67,2010000,1206000,0.68,1367000,2000
Kansas,15000,68,1020000,520000,0.91,928000,2000
Kentucky,4000,48,192000,54000,1.35,259000,2000
Louisiana,43000,94,4042000,1334000,0.52,2102000,2000
Maine,11000,21,231000,143000,0.75,173000,2000
Maryland,6000,46,276000,52000,1.14,315000,2000
Michigan,72000,75,5400000,2970000,0.6,3240000,2000
Minnesota,150000,90,13500000,3105000,0.57,7695000,2000
Mississippi,17000,72,1224000,649000,0.69,845000,2000
Missouri,23000,75,1725000,362000,0.6,1035000,2000
Montana,124000,88,10912000,4692000,0.59,6438000,2000
Nebraska,50000,87,4350000,2610000,0.59,2567000,2000
Nevada,10000,35,350000,95000,1.45,508000,2000
New Jersey,11000,35,385000,2.00E+05,0.61,235000,2000
New Mexico,15000,64,960000,739000,0.72,691000,2000
New York,58000,80,4640000,2274000,0.55,2552000,2000
North Carolina,11000,49,539000,243000,1.43,771000,2000
North Dakota,3.00E+05,115,34500000,13800000,0.57,19665000,2000
Ohio,18000,65,1170000,585000,0.79,924000,2000
Oklahoma,7000,35,245000,64000,1.26,309000,2000
Oregon,48000,51,2448000,1665000,0.66,1616000,2000
Pennsylvania,25000,45,1125000,630000,0.76,855000,2000
South Dakota,235000,121,28435000,12796000,0.58,16492000,2000
Tennessee,9000,61,549000,104000,1.43,785000,2000
Texas,105000,79,8295000,2986000,0.57,4728000,2000
Utah,24000,41,984000,462000,0.6,590000,2000
Vermont,7000,59,413000,211000,0.68,281000,2000
Virginia,7000,42,294000,103000,1.5,441000,2000
Washington,52000,54,2808000,1151000,0.58,1629000,2000
West Virginia,7000,54,378000,234000,1.22,461000,2000
Wisconsin,84000,90,7560000,4385000,0.68,5141000,2000
Wyoming,39000,93,3627000,798000,0.59,2140000,2000
Alabama,14000,73,1022000,235000,0.72,736000,2001
Arizona,43000,59,2537000,1142000,0.72,1827000,2001
Arkansas,50000,98,4900000,1617000,0.65,3185000,2001
California,460000,61,28060000,7857000,0.69,19361000,2001
Colorado,26000,55,1430000,529000,0.71,1015000,2001
Florida,220000,100,2.20E+07,3432000,0.64,14080000,2001
Georgia,55000,57,3135000,188000,0.7,2195000,2001
Hawaii,8000,87,696000,84000,0.87,606000,2001
Idaho,1.00E+05,46,4600000,1610000,0.67,3082000,2001
Illinois,6000,76,456000,251000,1.58,720000,2001
Indiana,7000,76,532000,186000,0.92,489000,2001
Iowa,33000,51,1683000,875000,0.75,1262000,2001
Kansas,13000,51,663000,530000,0.96,636000,2001
Kentucky,4000,78,312000,125000,1.41,440000,2001
Louisiana,45000,106,4770000,572000,0.6,2862000,2001
Maine,11000,20,220000,106000,0.79,174000,2001
Maryland,4000,46,184000,55000,1.6,294000,2001
Michigan,76000,60,4560000,2827000,0.81,3694000,2001
Minnesota,135000,81,10935000,1859000,0.65,7108000,2001
Mississippi,17000,66,1122000,224000,0.89,999000,2001
Missouri,22000,61,1342000,336000,0.71,953000,2001
Montana,136000,102,13872000,4578000,0.67,9294000,2001
Nebraska,43000,48,2064000,1115000,0.72,1486000,2001
Nevada,9000,50,450000,36000,2.14,963000,2001
New Jersey,11000,34,374000,71000,0.85,318000,2001
New Mexico,10000,70,7.00E+05,350000,0.66,462000,2001
New York,53000,70,3710000,1781000,0.79,2931000,2001
North Carolina,13000,44,572000,172000,1.48,847000,2001
North Dakota,280000,96,26880000,9408000,0.69,18547000,2001
Ohio,18000,81,1458000,569000,1.01,1473000,2001
Oklahoma,4000,47,188000,105000,1.43,269000,2001
Oregon,44000,44,1936000,1200000,0.74,1433000,2001
Pennsylvania,26000,57,1482000,785000,0.92,1363000,2001
South Carolina,7000,40,280000,67000,0.79,221000,2001
South Dakota,235000,65,15275000,12220000,0.71,10845000,2001
Tennessee,8000,59,472000,131000,1.39,656000,2001
Texas,97000,79,7663000,1533000,0.65,4981000,2001
Utah,23000,38,874000,315000,0.65,568000,2001
Vermont,7000,81,567000,249000,0.92,522000,2001
Virginia,9000,52,468000,94000,1.26,590000,2001
Washington,48000,52,2496000,1048000,0.72,1797000,2001
West Virginia,7000,65,455000,410000,1.42,646000,2001
Wisconsin,67000,81,5427000,3419000,0.82,4450000,2001
Wyoming,38000,77,2926000,468000,0.65,1902000,2001
Alabama,12000,86,1032000,103000,1.18,1218000,2002
Arizona,38000,63,2394000,1197000,1.08,2586000,2002
Arkansas,45000,88,3960000,871000,1.26,4990000,2002
California,470000,50,23500000,3525000,1.32,31020000,2002
Colorado,24000,60,1440000,576000,1.29,1858000,2002
Florida,220000,93,20460000,2026000,1.14,23324000,2002
Georgia,50000,52,2600000,52000,1.13,2938000,2002
Hawaii,7000,136,952000,29000,1.11,1057000,2002
Idaho,1.00E+05,57,5700000,1653000,1.37,7809000,2002
Illinois,9000,80,720000,130000,1.47,1058000,2002
Indiana,8000,62,496000,233000,1.19,590000,2002
Iowa,33000,70,2310000,901000,1.43,3303000,2002
Kansas,17000,52,884000,407000,1.5,1326000,2002
Kentucky,5000,54,270000,78000,1.63,440000,2002
Louisiana,35000,124,4340000,347000,1.16,5034000,2002
Maine,11000,41,451000,266000,1.21,546000,2002
Maryland,3000,46,138000,21000,1.96,270000,2002
Michigan,72000,77,5544000,1885000,1.4,7762000,2002
Minnesota,117000,73,8541000,1110000,1.47,12555000,2002
Mississippi,18000,78,1404000,281000,1.23,1727000,2002
Missouri,18000,50,9.00E+05,189000,1.42,1278000,2002
Montana,134000,63,8442000,1097000,1.38,11650000,2002
Nebraska,43000,75,3225000,1161000,1.49,4805000,2002
Nevada,9000,62,558000,61000,2.67,1490000,2002
New Jersey,11000,40,440000,92000,1,440000,2002
New Mexico,11000,44,484000,252000,1.1,532000,2002
New York,60000,98,5880000,2470000,1.25,7350000,2002
North Carolina,16000,42,672000,74000,1.41,948000,2002
North Dakota,320000,75,2.40E+07,8160000,1.46,35040000,2002
Ohio,18000,70,1260000,504000,1.44,1814000,2002
Oklahoma,3000,53,159000,51000,1.63,259000,2002
Oregon,43000,49,2107000,885000,1.35,2844000,2002
Pennsylvania,29000,57,1653000,827000,1.34,2215000,2002
South Carolina,5000,94,470000,14000,1.25,588000,2002
South Dakota,225000,51,11475000,2410000,1.42,16295000,2002
Tennessee,8000,61,488000,137000,1.4,683000,2002
Texas,114000,67,7638000,985000,1.14,8707000,2002
Utah,22000,59,1298000,208000,1.3,1687000,2002
Vermont,7000,89,623000,274000,1.2,748000,2002
Virginia,8000,38,304000,79000,1.9,578000,2002
Washington,50000,51,2550000,561000,1.27,3239000,2002
West Virginia,9000,51,459000,151000,1.32,606000,2002
Wisconsin,70000,95,6650000,2461000,1.34,8911000,2002
Wyoming,38000,63,2394000,383000,1.33,3184000,2002
Alabama,13000,82,1066000,43000,1.24,1322000,2003
Arizona,35000,72,2520000,983000,1.34,3377000,2003
Arkansas,40000,75,3.00E+06,810000,1.26,3780000,2003
California,480000,67,32160000,6432000,1.39,44702000,2003
Colorado,24000,86,2064000,722000,1.4,2890000,2003
Florida,210000,71,14910000,1491000,1.32,19681000,2003
Georgia,52000,65,3380000,270000,1.28,4326000,2003
Hawaii,7000,114,798000,43000,1.45,1157000,2003
Idaho,1.00E+05,46,4600000,1380000,1.33,6118000,2003
Illinois,7000,60,420000,252000,1.83,769000,2003
Indiana,5000,56,280000,78000,1.66,465000,2003
Iowa,32000,59,1888000,868000,1.42,2681000,2003
Kansas,16000,57,912000,447000,1.41,1286000,2003
Kentucky,5000,48,240000,14000,1.67,401000,2003
Louisiana,34000,90,3060000,275000,1.24,3794000,2003
Maine,8000,33,264000,145000,1.41,372000,2003
Maryland,2000,42,84000,21000,1.93,162000,2003
Michigan,65000,74,4810000,1732000,1.41,6782000,2003
Minnesota,120000,83,9960000,1892000,1.44,14342000,2003
Mississippi,21000,69,1449000,246000,1.29,1869000,2003
Missouri,17000,53,901000,189000,1.41,1270000,2003
Montana,145000,66,9570000,1914000,1.44,13781000,2003
Nebraska,45000,74,3330000,1299000,1.38,4595000,2003
Nevada,6000,64,384000,46000,2.04,783000,2003
New Jersey,10000,19,190000,101000,1.6,304000,2003
New Mexico,6000,41,246000,108000,1.2,295000,2003
New York,67000,72,4824000,1640000,1.36,6561000,2003
North Carolina,10000,44,440000,79000,1.92,845000,2003
North Dakota,340000,87,29580000,6803000,1.36,40229000,2003
Ohio,15000,50,750000,278000,1.4,1050000,2003
Oklahoma,3000,47,141000,69000,1.84,259000,2003
Oregon,42000,51,2142000,964000,1.27,2720000,2003
Pennsylvania,27000,50,1350000,419000,1.44,1944000,2003
South Carolina,4000,70,280000,8000,1.89,529000,2003
South Dakota,215000,70,15050000,2709000,1.43,21522000,2003
Tennessee,6000,40,240000,46000,1.52,365000,2003
Texas,140000,67,9380000,1126000,1.4,13132000,2003
Utah,25000,57,1425000,157000,1.28,1824000,2003
Vermont,7000,83,581000,163000,1.96,1139000,2003
Virginia,6000,37,222000,69000,1.68,373000,2003
Washington,58000,56,3248000,942000,1.46,4742000,2003
West Virginia,8000,47,376000,194000,1.89,711000,2003
Wisconsin,74000,77,5698000,2678000,1.47,8376000,2003
Wyoming,39000,81,3159000,474000,1.41,4454000,2003
Alabama,12000,87,1044000,282000,1.41,1472000,2004
Arizona,32000,55,1760000,774000,1.11,1954000,2004
Arkansas,40000,57,2280000,388000,0.87,1984000,2004
California,390000,45,17550000,5792000,1.05,18428000,2004
Colorado,23000,80,1840000,791000,1.35,2484000,2004
Florida,205000,98,20090000,2009000,1.02,20492000,2004
Georgia,63000,49,3087000,648000,1.2,3704000,2004
Hawaii,8000,96,768000,77000,1.59,1221000,2004
Idaho,1.00E+05,63,6300000,2520000,1.02,6426000,2004
Illinois,7000,55,385000,193000,1.86,716000,2004
Indiana,7000,59,413000,145000,1.47,607000,2004
Iowa,35000,67,2345000,1337000,1.06,2486000,2004
Kansas,14000,80,1120000,683000,1.18,1322000,2004
Kentucky,5000,56,280000,34000,1.96,549000,2004
Louisiana,35000,98,3430000,240000,0.79,2710000,2004
Maine,7000,31,217000,37000,1.28,278000,2004
Michigan,65000,67,4355000,2439000,1.16,5052000,2004
Minnesota,135000,75,10125000,1924000,1.08,10935000,2004
Mississippi,18000,65,1170000,421000,0.79,924000,2004
Missouri,16000,41,656000,151000,1.36,892000,2004
Montana,140000,77,10780000,3773000,1.08,11642000,2004
Nebraska,51000,89,4539000,2043000,1.01,4584000,2004
Nevada,14000,55,770000,316000,1.78,1371000,2004
New Jersey,12000,27,324000,45000,1.4,454000,2004
New Mexico,8000,44,352000,127000,1.19,419000,2004
New York,64000,67,4288000,1887000,1.36,5832000,2004
North Carolina,9000,40,360000,72000,1.93,695000,2004
North Dakota,390000,78,30420000,9126000,1.05,31941000,2004
Ohio,16000,58,928000,353000,1.53,1420000,2004
Oregon,42000,54,2268000,1111000,1.21,2744000,2004
Pennsylvania,30000,54,1620000,810000,1.42,2300000,2004
South Dakota,215000,105,22575000,13545000,1.01,22801000,2004
Tennessee,6000,54,324000,91000,1.73,561000,2004
Texas,116000,76,8816000,1411000,0.97,8552000,2004
Utah,24000,70,1680000,554000,1.1,1848000,2004
Vermont,6000,68,408000,192000,1.51,616000,2004
Virginia,7000,38,266000,69000,2.1,559000,2004
Washington,56000,63,3528000,1376000,0.98,3457000,2004
West Virginia,9000,55,495000,183000,1.41,698000,2004
Wisconsin,68000,86,5848000,2632000,1.19,6959000,2004
Wyoming,39000,75,2925000,380000,1.1,3218000,2004
Alabama,13000,66,858000,266000,1.02,875000,2005
Arizona,36000,50,1800000,720000,1.04,1872000,2005
Arkansas,36000,69,2484000,571000,0.97,2409000,2005
California,4.00E+05,75,3.00E+07,9300000,0.86,25800000,2005
Colorado,28000,70,1960000,902000,0.97,1901000,2005
Florida,160000,86,13760000,2477000,0.87,11971000,2005
Georgia,59000,49,2891000,434000,0.89,2573000,2005
Hawaii,9000,131,1179000,283000,1.43,1686000,2005
Idaho,95000,37,3515000,1793000,0.8,2812000,2005
Illinois,8000,85,680000,408000,1.84,1251000,2005
Indiana,8000,64,512000,189000,1.18,604000,2005
Iowa,28000,88,2464000,1232000,1.21,2981000,2005
Kansas,16000,50,8.00E+05,328000,1.05,840000,2005
Kentucky,5000,50,250000,40000,2.08,520000,2005
Louisiana,35000,97,3395000,611000,0.72,2444000,2005
Maine,8000,26,208000,193000,1.66,345000,2005
Michigan,65000,68,4420000,2519000,0.94,4155000,2005
Minnesota,120000,74,8880000,1598000,0.9,7992000,2005
Mississippi,16000,80,1280000,346000,0.67,858000,2005
Missouri,15000,50,750000,180000,1.22,915000,2005
Montana,130000,67,8710000,3136000,0.86,7491000,2005
Nebraska,40000,68,2720000,2530000,0.87,2366000,2005
Nevada,12000,46,552000,442000,3.11,1717000,2005
New Jersey,12000,32,384000,104000,1.2,461000,2005
New Mexico,7000,49,343000,113000,1.03,353000,2005
New York,59000,73,4307000,2283000,1.34,5771000,2005
North Carolina,10000,54,540000,146000,1.88,1015000,2005
North Dakota,370000,91,33670000,8418000,0.83,27946000,2005
Ohio,15000,69,1035000,580000,1.4,1449000,2005
Oregon,39000,42,1638000,557000,1.08,1769000,2005
Pennsylvania,28000,56,1568000,8.00E+05,1.12,1756000,2005
South Dakota,220000,79,17380000,11818000,0.83,14425000,2005
Tennessee,7000,55,385000,92000,1.67,643000,2005
Texas,84000,71,5964000,954000,0.86,5129000,2005
Utah,24000,45,1080000,346000,0.95,1026000,2005
Vermont,6000,91,546000,169000,1.12,612000,2005
Virginia,8000,37,296000,59000,2.2,651000,2005
Washington,51000,55,2805000,1935000,1.01,2833000,2005
West Virginia,8000,51,408000,102000,1.29,526000,2005
Wisconsin,64000,83,5312000,2922000,1.14,6056000,2005
Wyoming,40000,56,2240000,291000,0.89,1994000,2005
Alabama,11000,72,792000,230000,1.21,958000,2006
Arizona,30000,65,1950000,839000,0.91,1775000,2006
Arkansas,32000,76,2432000,730000,0.89,2164000,2006
California,380000,52,19760000,7706000,0.97,19167000,2006
Colorado,36000,75,2700000,1458000,1.04,2808000,2006
Florida,170000,81,13770000,1790000,1,13770000,2006
Georgia,63000,74,4662000,746000,1.2,5594000,2006
Hawaii,10000,93,930000,233000,1.21,1125000,2006
Idaho,95000,44,4180000,2592000,0.97,4055000,2006
Illinois,10000,66,660000,356000,2.14,1412000,2006
Indiana,7000,54,378000,125000,1.58,597000,2006
Iowa,26000,84,2184000,1441000,1.37,2992000,2006
Kansas,14000,55,770000,246000,1.17,901000,2006
Kentucky,5000,56,280000,70000,2.19,613000,2006
Louisiana,30000,90,2700000,675000,0.9,2430000,2006
Maine,11000,23,253000,86000,1.6,405000,2006
Michigan,72000,55,3960000,2099000,1.15,4554000,2006
Minnesota,125000,80,1.00E+07,3300000,0.94,9400000,2006
Mississippi,14000,98,1372000,453000,0.93,1276000,2006
Missouri,15000,46,690000,117000,0.98,676000,2006
Montana,132000,79,10428000,1981000,0.95,9907000,2006
Nebraska,47000,73,3431000,3843000,0.93,3191000,2006
Nevada,9000,37,333000,50000,3.62,1205000,2006
New Jersey,9000,36,324000,152000,1.14,369000,2006
New Mexico,7000,48,336000,104000,1.19,4.00E+05,2006
New York,58000,64,3712000,2376000,1.3,4826000,2006
North Carolina,10000,50,5.00E+05,215000,1.57,785000,2006
North Dakota,350000,74,25900000,7770000,0.91,23569000,2006
Ohio,14000,56,784000,282000,1.4,1098000,2006
Oregon,46000,48,2208000,729000,1.05,2318000,2006
Pennsylvania,28000,40,1120000,605000,1.63,1826000,2006
South Dakota,225000,47,10575000,10575000,0.94,9941000,2006
Tennessee,7000,55,385000,58000,1.84,708000,2006
Texas,82000,70,5740000,976000,0.89,5109000,2006
Utah,26000,50,1300000,299000,0.98,1274000,2006
Vermont,6000,56,336000,144000,1.2,403000,2006
Virginia,8000,42,336000,114000,2.2,739000,2006
Washington,49000,52,2548000,1605000,1.24,3160000,2006
West Virginia,6000,42,252000,68000,2.02,509000,2006
Wisconsin,64000,93,5952000,2500000,1.12,6666000,2006
Wyoming,39000,85,3315000,497000,0.98,3249000,2006
Alabama,11000,56,616000,209000,1.49,918000,2007
Arizona,30000,64,1920000,902000,1.26,2419000,2007
Arkansas,28000,80,2240000,672000,0.95,2128000,2007
California,340000,40,13600000,3672000,1.04,14144000,2007
Colorado,31000,51,1581000,838000,1.15,1818000,2007
Florida,160000,71,11360000,1363000,0.99,11246000,2007
Georgia,60000,58,3480000,522000,1.19,4141000,2007
